score_change_repay,score_change_default,utility_default,potential_score_update_mode,agent,avg_max_unfairness_dp,avg_mean_unfairness_dp,initial_unfairness_dp,avg_max_unfairness_cs,avg_mean_unfairness_cs,initial_unfairness_cs,avg_total_utility,n_traces,max_increase_unfairness_dp,avg_increase_unfairness_dp,max_increase_unfairness_cs,avg_increase_unfairness_cs
12,-24,-10,equal,eqopp,0.2559724502292962,0.2475457278158221,0.2416927436177927,30.77251469607895,29.75915905651896,28.470232739418435,47428.142857142855,7,0.014279706611503518,0.005852984198029404,2.302281956660515,1.2889263171005254
8,-40,-10,equal,eqopp,0.2605926990125079,0.2495552663842444,0.2416927436177927,30.918268694273912,29.77948077942326,28.470232739418435,47892.28571428572,7,0.01889995539471523,0.007862522766451718,2.4480359548554773,1.3092480400048245
16,-16,-9,equal,eqopp,0.2590932695268303,0.2525598608516075,0.2470790071479909,30.863614312189128,29.79566490991056,28.470232739418435,51646.71428571428,7,0.01201426237883943,0.005480853703616589,2.393381572770693,1.3254321704921246
20,-24,-9,equal,eqopp,0.2623557377439275,0.2544639015761371,0.2470790071479909,31.1280919271712,30.011870407494392,28.470232739418435,52820.857142857145,7,0.015276730595936622,0.007384894428146188,2.6578591877527664,1.541637668075957
12,-32,-9,equal,eqopp,0.2651544342817435,0.2560116324629731,0.2470790071479909,31.086391475721666,29.880185082229364,28.470232739418435,49790.42857142857,7,0.018075427133752625,0.008932625314982207,2.6161587363032304,1.4099523428109286
8,-16,-8,equal,eqopp,0.26438077039126,0.2587261950147829,0.2521252173733977,30.574871395341383,29.587976215931143,28.470232739418435,52985.57142857143,7,0.012255553017862297,0.006600977641385175,2.1046386559229475,1.1177434765127074
20,-40,-8,equal,eqopp,0.275428870209948,0.2658005495791772,0.2521252173733977,31.79867280740302,30.34288316224387,28.470232739418435,54288.333333333336,6,0.02330365283655028,0.013675332205779489,3.328440067984584,1.8726504228254335
16,-16,-7,equal,eqopp,0.2751551314077683,0.2660137797647172,0.2547831800793958,31.35633916380122,30.081928720462617,28.470232739418435,57247.28571428572,7,0.020371951328372495,0.011230599685321363,2.8861064243827848,1.611695981044182
20,-32,-7,equal,eqopp,0.281254849803953,0.269837472391054,0.2547831800793958,31.863227668438125,30.38664253861019,28.470232739418435,58063.333333333336,6,0.026471669724557167,0.015054292311658168,3.3929949290196895,1.9164097991917544
8,-24,-6,equal,eqopp,0.2838028288005085,0.2741243111730682,0.2647477520624544,31.1954131660082,29.8848282198065,28.470232739418435,59408.42857142857,7,0.019055076738054122,0.009376559110613802,2.725180426589766,1.4145954803880656
16,-40,-5,equal,eqopp,0.2982489587181196,0.2863348791651891,0.2693736529346545,32.659718961274514,30.76834036221065,28.470232739418435,65030.5,6,0.02887530578346509,0.016961226230534643,4.189486221856079,2.298107622792216
